"tid";"hastagname"
683625828282949632;"sylviaonbroadway"
683625828282949632;"welovesylvia"
683654577095311360;"FNS"
683654577095311360;"guncontrol"
683656189465477120;"msleg"
683656843948863489;"msleg"
683657628011081728;"msleg"
683664427011436544;"YallQaeda"
683665472282312704;"terrorism"
683674252776706048;"nhpolitics"
683678227563429888;"wvgov"
683678227563429888;"wvlegis"
683678227563429888;"wvpol"
683685354063421440;"fitn"
683688466857746436;"fitn"
683690682649833476;"MakeAmericaGreatAgain"
683698643736641536;"fitn"
683698643736641536;"nhpolitics"
683699918934953984;"ISIS"
683701049073504258;"ISIS"
683701280238338050;"HillaryInNH"
683701522505465856;"coleg"
683701522505465856;"copolitics"
683701522505465856;"tcot"
683703044911960064;"coleg"
683703044911960064;"copolitics"
683703044911960064;"tcot"
683703173735825408;"Art3Sec3"
683704148173414405;"StopGunViolence"
683707094856503297;"fitn"
683708203410964481;"NeverGiveUp"
683717863346061312;"NHPolitics"
683720971690323968;"VAReform"
683735048395202560;"dontletamericadown2016"
683735048395202560;"nmgop"
683744177067143169;"SanBernardino"
683802531965710336;"coleg"
683802531965710336;"copolitics"
683802531965710336;"gop"
683802531965710336;"tcot"
683806644124385280;"IACaucus"
683806644124385280;"Iowan"
683814292299223040;"leadright2016"
683814292299223040;"nmpol"
683814292299223040;"stophillary"
683818083534782464;"Broncos"
683818083534782464;"DivisionChamps"
683818083534782464;"HesBack"
683818083534782464;"PeytonManning"
683818083534782464;"PlayoffBound"
683822304485183488;"Oregonstandoff"
683827203482583044;"caucus"
683829158733021185;"mapoli"
683835768888885248;"copolitics"
683835768888885248;"gop"
683835768888885248;"tcot"
683837739016441856;"Oregon"
683840161642315777;"mapoli"
683866906965716995;"theroyals"
683883391423361024;"caleg"
683970221464391680;"ORmilitia"
683973280001355776;"itsNOTtransparent"
683973280001355776;"NoTollsInRI"
683973280001355776;"ShowUsTheGantries"
683973396569407488;"ChocolatesWithCosta"
683973768369319936;"NoTollsInRI"
683973768369319936;"ShowUsTheGantries"
683976838515929088;"kyga16"
683995195554304000;"mepolitics"
683999533194424320;"2ndAmendment"
683999533194424320;"NoTollsInRI"
683999533194424320;"RhodeMapRI"
683999533194424320;"VotePagliarini"
684003157685473281;"moleg"
684012353625657346;"mapoli"
684012661512605696;"copolitics"
684012661512605696;"gop"
684012661512605696;"tcot"
684021904454348800;"NeverGiveUp"
684022150920011777;"Florida"
684022226958430208;"coleg"
684022226958430208;"copolitics"
684027014882418688;"vted"
684027014882418688;"vtpoli"
684027274379788288;"Jobs"
684027469742104576;"ComebackState"
684029077997531136;"LABudget"
684029077997531136;"lagov"
684029077997531136;"lalege"
684030013461630976;"SECprimary"
684030013461630976;"TNGOP"
684030317938655233;"coleg"
684030317938655233;"copolitics"
684030317938655233;"tcot"
684035914952257536;"kyga16"
684036506508476416;"MondayMotivation"
684037206407786496;"BTV"
684037206407786496;"vtpoli"
684038163149488128;"mapoli"
684038672019275776;"FirstAmendment"
684039461932404738;"CarsonFlatTax"
684040468049494016;"tx2016"
684043407073914880;"CarsonFlatTax"
684045852399251456;"msleg"
684046060591955969;"KYpolitics"
684047173692960768;"coleg"
684047173692960768;"copolitics"
684047173692960768;"tcot"
684047589013065728;"netde"
684047985605492737;"LeadershipMatters"
684049198119923713;"WImuckreads"
684049471966072832;"Constitutional"
684049471966072832;"voterID"
684050487080038401;"SECprimary"
684050487080038401;"TNGOP"
684051711380566016;"iacaucus"
684054169494417409;"wyleg"
684054169494417409;"wyoming"
684054169494417409;"wypol"
684055262202871808;"ImWithHer"
684055443547684864;"FITN"
684055443547684864;"NeverGiveUp"
684055443547684864;"nhpolitics"
684055916572991488;"wipolitics"
684056153249177601;"3toTweet"
684057413536870400;"vtpoli"
684058034084122625;"msleg"
684058232848007168;"msleg"
684058389106802692;"publiclands"
684058389106802692;"uwyo"
684058389106802692;"wyleg"
684058389106802692;"wypol"
684058579297562624;"msleg"
684058903957606400;"msleg"
684059517550784512;"publiclands"
684059517550784512;"wyleg"
684059517550784512;"wypol"
684060655100510209;"wyleg"
684060655100510209;"wypol"
684060762772389888;"azleg"
684062372932136960;"MondayMotivation"
684062391592706050;"iacaucus"
684062391592706050;"Kasich4Us"
684062501785448449;"mepolitics"
684062696837271552;"LeadRight2016"
684063912560476160;"PHX2016"
684064305495457792;"PHX2016"
684064794605961216;"iacaucus"
684067983065485312;"100Eyes"
684070560213499904;"wyleg"
684070560213499904;"wyoming"
684070560213499904;"wypol"
684070769668812800;"CarsonFlatTax"
684071338881843200;"GetCovered"
684072093974069248;"coleg"
684072093974069248;"copolitics"
684073952579325953;"NoTollsInRI"
684073952579325953;"ShowUsTheGantries"
684073952579325953;"TrucksNowCarsLater"
684074086558003200;"fitn"
684074086558003200;"nhpsc"
684074130849816576;"NoTollsInRI"
684074130849816576;"VotePagliarini"
684074295484674048;"VoteJohnPagliarini"
684074455769956352;"NoTollsInRI"
684074455769956352;"ShowUsTheGantries"
684074483121045504;"mepolitics"
684076732727574530;"INLegis"
684076776914575361;"NHPSC"
684079070225809410;"CarsonFlatTax"
684079606303977473;"NeverGiveUp"
684079639699058688;"Ohio"
684079977642487808;"NoTollsInRI"
684079977642487808;"ShowUsTheGantries"
684079977642487808;"TrucksTodayCarsTomorrow"
684080846974906368;"mepolitics"
684081685357432832;"coleg"
684081685357432832;"copolitics"
684083159428812800;"LDMO16"
684084027465179137;"coleg"
684084027465179137;"copolitics"
684084082909773824;"mepolitics"
684084422115758080;"iagov"
684084422115758080;"ialegis"
684084625895862272;"coleg"
684084625895862272;"copolitics"
684084740287234048;"mapoli"
684085759888867328;"FirstInTheWest"
684085759888867328;"NVDemsCaucus"
684085759888867328;"Periscope"
684086673945174016;"wyleg"
684086673945174016;"wyoming"
684086673945174016;"wypol"
684087917581484032;"wyleg"
684087917581484032;"wyoming"
684087917581484032;"wypol"
684087992407994370;"Ohio"
684088230984179713;"BTV"
684089117408407552;"BTV"
684089117408407552;"vtpoli"
684089142477762560;"waelex"
684093408428855296;"primary"
684093580793753600;"fitn"
684093580793753600;"nhpolitics"
684093580793753600;"WMUR"
684093588385476608;"fitn"
684093588385476608;"nhpolitics"
684094028665745408;"mepolitics"
684094848106811392;"wvpol"
684094919099682817;"mepolitics"
684095403999014912;"mepolitics"
684095628079710210;"kyga16"
684096421323145216;"NordicNats16"
684097172455817216;"mileg"
684097517320048640;"Kasich4Us"
684097644948525056;"nhpolitics"
684098403928686592;"Oregonstandoff"
684100536262459392;"AKgov"
684100536262459392;"AKleg"
684100750855671809;"mapoli"
684100760318119936;"waelex"
684100760318119936;"waleg"
684101316163964928;"StopGunViolence"
684102210855239680;"waedu"
684102210855239680;"waleg"
684102270850445312;"caleg"
684102503709995008;"CarsonFlatTax"
684103785916973056;"publiclands"
684103785916973056;"uwyo"
684103785916973056;"wyleg"
684103785916973056;"wypol"
684105539341553664;"tx2016"
684105539341553664;"txlege"
684106558469357568;"akleg"
684106558469357568;"Alaska"
684109030537719808;"ialegis"
684111022911717377;"SevenActions"
684111200888553472;"akleg"
684111200888553472;"SB23"
684111808689520642;"waelex"
684111808689520642;"waleg"
684113597883092993;"nhpolitics"
684113691621507072;"SevenActions"
684115705692729344;"mentor"
684115705692729344;"NationalMentoringMonth"
684116080655073280;"SevenActions"
684117054132101120;"CarsonFlatTax"
684117206318227456;"SevenActions"
684117335695831040;"budget"
684117335695831040;"jobs"
684117335695831040;"Ohio"
684118118747222017;"nhpolitics"
684118447391817730;"SevenActions"
684118626811527170;"ncga"
684118626811527170;"ncgov"
684118626811527170;"ncpol"
684119018643570688;"budget"
684119018643570688;"education"
684119018643570688;"Ohio"
684119018643570688;"SeveranceTax"
684119018643570688;"veterans"
684119060674670593;"nhpolitics"
684120010323849218;"nhpolitics"
684121635289313280;"coleg"
684121635289313280;"copolitics"
684123766448873475;"LGBT"
684123902528729093;"vote2016"
684123902528729093;"wyleg"
684123902528729093;"wypol"
684125836048490497;"mepolitics"
684126058560393217;"NE02"
684126058560393217;"vets"
684127940355817473;"SB571"
684132252779847681;"GunsInAmerica"
684132252779847681;"StopGunViolence"
684132417053917184;"coleg"
684132417053917184;"copolitics"
684132417053917184;"tcot"
684136408559292420;"INLegis"
684136408559292420;"LGBT"
684136784985329664;"ISTEP"
684137066544893957;"Alaska"
684137066544893957;"Winter"
684137066544893957;"WTF"
684141691234697216;"sb54"
684141691234697216;"utpol"
684141791499583488;"mtnews"
684141791499583488;"mtpol"
684143467098865664;"MoLeg"
684144682201255936;"Ashford16"
684145410403766272;"Oregonstandoff"
684145666415816706;"medmar"
684146048512593920;"Oregonians"
684146048512593920;"OregonMotorVoter"
684146048512593920;"orleg"
684146048512593920;"orpol"
684146525342142464;"thingsiseewhilewalking"
684146885364453376;"StopGunViolence"
684149313518186496;"ksleg"
684153605973098496;"copolitics"
684162170817359872;"fitn"
684163793933463552;"lagov"
684168136871010309;"mepolitics"
684170905711435776;"ShowUsTheGantries"
684170981330554880;"nhpolitics"
684172975952670720;"Students4Carson"
684176162847862784;"kyga16"
684176682601717760;"copolitics"
684176682601717760;"tcot"
684177890586537985;"kyga16"
684178111727054849;"kyga16"
684179008381030400;"IceWorld"
684179830833831936;"kyga16"
684179837741854720;"FITN"
684179837741854720;"nhpolitics"
684185243721592832;"kyga16"
684186242280472577;"UNC"
684188444323528704;"RJnow"
684191361881485312;"wipolitics"
684192169507307522;"kyga16"
684192218639417344;"KYGA16"
684198370349572097;"MakeAmericaGreatAgain"
684205696796102656;"ChuckStay"
684205696796102656;"FireGrigson"
684206463951097856;"BC2DC16"
684207783093342208;"wipolitics"
684215247310200832;"CES2016"
684216903863250944;"MakeAmericaGreatAgain"
684218305100525569;"Trump2016"
684227621471703040;"FredMeyer"
684227621471703040;"HoneyCripps"
684236845660569601;"dorightbythementallyill"
684328973363458049;"NoTollsInRI"
684328973363458049;"ShowUsTheGantries"
684328973363458049;"TrucksNowCarsLater"
684329220890341376;"NoTollsInRI"
684329220890341376;"VotePagliarini"
684329408564453376;"VoteJohnPagliarini"
684329575103479809;"NoTollsInRI"
684329575103479809;"ShowUsTheGantries"
684330172791812096;"NoTollsInRI"
684330339934797824;"NoTollsInRI"
684330339934797824;"ShowUsTheGantries"
684330339934797824;"TrucksTodayCarsTomorrow"
684358863974469632;"freshstart"
684358863974469632;"kyga16"
684366244758335488;"kyga16"
684366244758335488;"miccheck1212"
684367540781477892;"mapoli"
684368709331337216;"kyga16"
684368968807772161;"mepolitics"
684372409181417473;"paconstitution"
684372409181417473;"pasenate"
684373917029548032;"INedchat"
684373917029548032;"INlegis"
684374410585747456;"KJZZME"
684375375950942208;"moleg"
684378195047481344;"FITN"
684378195047481344;"Kasich4Us"
684378195047481344;"NeverGiveUp"
684378195047481344;"nhpolitics"
684379403023970305;"vtpoli"
684381224886865920;"MoLeg"
684384037037674497;"coleg"
684384037037674497;"copolitics"
684384037037674497;"tcot"
684385814856482816;"vtpoli"
684388370131349504;"CarsonFlatTax"
684389422385631233;"BreakEmUp"
684389452270014464;"MoLeg"
684391207359889408;"kyga16"
684391336980643840;"Medicare"
684391682448699392;"FtMyers"
684391791076839424;"coleg"
684391791076839424;"Colorado"
684391791076839424;"TABOR"
684392062972784640;"drug"
684392112390074368;"INLegis"
684392623944019969;"coleg"
684392623944019969;"TABOR"
684393422073925632;"coleg"
684395308294356992;"coleg"
684395308294356992;"Republicans"
684396100715843584;"coleg"
684396279175090176;"Mizzou"
684396430249848833;"neleg"
684396813403713536;"Albany"
684396904017334272;"coleg"
684396904017334272;"constructiondefects"
684397791657906176;"coleg"
684398878548996096;"NHforum"
684399218128076800;"coleg"
684399218128076800;"TABOR"
684399886238748672;"BTV"
684399886238748672;"vtpoli"
684400415992053762;"PASenate"
684400960853151744;"growthcode"
684401350101172224;"coleg"
684401350101172224;"Colorado"
684402124038377472;"coleg"
684402124038377472;"Colorado"
684402180355272705;"coleg"
684402523612917760;"coleg"
684403511854002177;"INDGOP"
684403886292111361;"sayfie"
684404152563191808;"coleg"
684404152563191808;"TABOR"
684404334990327808;"vtpoli"
684404741703503872;"INSen"
684404938181599232;"NCGOV"
684405295452311552;"ColoradoCare"
684405295452311552;"copolitics"
684405295452311552;"TABOR"
684405502520999936;"INDOT2015"
684406457563877377;"FlintWater"
684406506532409344;"coleg"
684406506532409344;"copolitics"
684406596747706368;"iagov"
684406596747706368;"ialegis"
684406952521154560;"StopGunViolence"
684407011761586177;"wvpol"
684407270499696640;"BreakEmUp"
684407429967183873;"ff"
684407524104224768;"kyga16"
684408204168687616;"vtpoli"
684408874229723136;"NHforum"
684411600313266176;"sayfie"
684413356804063232;"LGBT"
684414351361490944;"coleg"
684414351361490944;"copolitics"
684414351361490944;"tcot"
684414596325720065;"vtpoli"
684415170093776896;"StopGunViolence"
684415651721658368;"pasenate"
684416411108818944;"vtpoli"
684417668934402048;"montp"
684417668934402048;"vtpoli"
684418057826009088;"coleg"
684418057826009088;"copolitics"
684418057826009088;"tcot"
684418918279196672;"StopGunViolence"
684418969508253696;"INLegis"
684418979058728960;"msleg"
684419796440625152;"StopGunViolence"
684420418162286592;"StopGunViolence"
684421872222507008;"StopGunViolence"
684422119216799745;"2a"
684422514827751424;"pasenate"
684423484546625536;"kyga16"
684423965612347392;"kyga15"
684423965612347392;"kyga16"
684424017462300673;"pasenate"
684424837566193664;"StopGunViolence"
684425949266472961;"pasenate"
684426993266483200;"Bernie2016"
684427887718498304;"GunSafety"
684427887718498304;"WhiteHouse"
684428149556428801;"kyga16"
684428405492854784;"ncgov"
684428664386269184;"2A"
684428664386269184;"TNGOP"
684428790928379904;"pasenate"
684430197140107266;"IN08"
684430582693130240;"msleg"
684431238724206592;"msleg"
684431700085084160;"msleg"
684431982638567426;"msleg"
684434693924638720;"BreakEmUp"
684434971994374144;"mtnews"
684434971994374144;"mtpol"
684435167059034112;"StopGunViolence"
684436653348380672;"msleg"
684436714052579328;"kyga16"
684437232988499968;"BreakEmUp"
684437328878813187;"fitn"
684437328878813187;"nhpolitics"
684437728029708289;"msleg"
684437803241836544;"SecondAmendment"
684438138710814720;"msleg"
684439065035407360;"msleg"
684439421257674753;"nhpolitics"
684439542120771584;"animalhouse"
684439542120771584;"msleg"
684439677055688704;"Mississippi"
684439677055688704;"msleg"
684439932677558272;"msleg"
684440384257298432;"msleg"
684441006109003777;"msleg"
684441006528270337;"BreakEmUp"
684441479239045121;"msleg"
684441667122925568;"LGBT"
684441912397443072;"sayfie"
684442210679390208;"msleg"
684443107455275008;"msleg"
684443968323596289;"decorum"
684443968323596289;"msleg"
684444776171581440;"BreakEmUp"
684444896460144640;"msleg"
684445832410615808;"CALeg"
684447455975321600;"coleg"
684447455975321600;"copolitics"
684447455975321600;"tcot"
684447645818056705;"FITN"
684447645818056705;"NHPolitics"
684447645818056705;"NHPSC"
684447768413368321;"Kasich4Us"
684447871203016705;"coleg"
684447871203016705;"copolitics"
684447871203016705;"gop"
684447871203016705;"tcot"
684448545894608896;"BreakEmUp"
684448957490040832;"mtnews"
684448957490040832;"mtpol"
684449036988907520;"iacaucus"
684449310818304000;"ChrisChristie"
684449430762737664;"mtnews"
684449430762737664;"mtpol"
684450064324939777;"mileg"
684450424154370048;"msleg"
684450740161613824;"msleg"
684450969250324482;"msleg"
684451015270252546;"wyleg"
684451015270252546;"wypol"
684451467529433088;"FITN"
684451467529433088;"NHPSC"
684451467529433088;"president"
684451467529433088;"veterans"
684451686404984832;"Albany"
684452098356961280;"msleg"
684452395733151744;"msleg"
684452530718425088;"BreakEmUp"
684452987322937345;"BreakEmUp"
684453188565532672;"moleg"
684453301706854400;"nmpol"
684453329930481666;"msleg"
684453584273014784;"StopGunViolence"
684453607262023680;"msleg"
684454249946718209;"coleg"
684454249946718209;"copolitics"
684454317470912512;"msleg"
684455150858190848;"msleg"
684455648483000324;"BreakEmUp"
684455788119764993;"msleg"
684456260901670913;"BreakEmUp"
684456282758189061;"msleg"
684456361464168449;"AKgov"
684456361464168449;"AKleg"
684457263956934656;"BreakEmUp"
684457857820028928;"BreakEmUP"
684457857820028928;"FeelTheBern"
684458267913928706;"msleg"
684458980169613313;"Arizona"
684458980169613313;"gun"
684458980169613313;"sovereignty"
684459676600262656;"BreakEmUp"
684459676600262656;"FeelTheBern"
684459812927746048;"BreakEmUp"
684460180252299264;"BreakEmUp"
684460335449911296;"FeelTheBern"
684460540412862464;"mnleg"
684460743723474948;"BreakEmUp"
684461260231077888;"BreakEmUp"
684461785836052480;"msleg"
684461910666772480;"mtleg"
684461910666772480;"mtnews"
684461910666772480;"mtpol"
684462170197889024;"BreakEmUp"
684462278830338048;"BreakEmUp"
684462934643314688;"Montp"
684463417592123393;"akleg"
684463730701238274;"BreakEmUp"
684464520719253504;"moleg"
684465303577743361;"mtnews"
684465303577743361;"mtpol"
684465555831697408;"BreakEmUp"
684465762807975936;"msleg"
684466928459501568;"wyleg"
684466928459501568;"wyoming"
684466928459501568;"wypol"
684468864797818882;"sayfie"
684469514256408576;"sayfie"
684473950399668224;"coleg"
684473950399668224;"copolitics"
684473950399668224;"gop"
684473950399668224;"tcot"
684474335730348032;"coleg"
684474335730348032;"copolitics"
684474335730348032;"gop"
684474335730348032;"tcot"
684474756062527488;"coleg"
684474756062527488;"copolitics"
684474756062527488;"tcot"
684475151153512450;"2ndAmend"
684475342866788352;"callieforcouncil"
684475342866788352;"Indiana"
684475342866788352;"jeffcitycouncil"
684476052400422912;"CTE"
684476052400422912;"STEM"
684476184361611265;"StopGunViolence"
684477445072928768;"LABudget"
684477445072928768;"lagov"
684478442776203264;"INLegis"
684478572103348224;"2A"
684478969576570880;"2A"
684479296765849600;"medmar"
684481205996285952;"StopGunViolence"
684482260150583297;"wyleg"
684482260150583297;"wypol"
684482968744759296;"ExecutiveOrder"
684482968744759296;"gun"
684483350782849024;"AKgov"
684483350782849024;"AKleg"
684484776141713409;"NHPSC"
684485118652755972;"mapoli"
684485937967927296;"MoLeg"
684486011250937857;"kyga16"
684487054131130368;"NeverGiveUp"
684488404436779008;"nmleg"
684488404436779008;"nmpol"
684488746859810817;"nmpol"
684488989223473152;"nmpol"
684489363875483650;"nmleg"
684489363875483650;"nmpol"
684489793137426433;"lagov"
684489793137426433;"Medicaid"
684494341566402560;"utpol"
684496026741256192;"ActOnClimate"
684500893371351040;"INLegis"
684502820473581568;"copolitics"
684504222910418944;"ActOnClimate"
684506363289010176;"SECprimary"
684506363289010176;"TNGOP"
684506742642839552;"MakingAMurderer"
684506742642839552;"StevenAvery"
684509827930796032;"mtnew"
684509827930796032;"mtpol"
684510288566079488;"nmpol"
684513415637803008;"coleg"
684513415637803008;"copolitics"
684516520618233857;"nhpolitics"
684517468597911552;"AD31"
684517479134048257;"copolitics"
684517717789913088;"coleg"
684517926880190464;"alkeg"
684518209823846400;"BTV"
684518209823846400;"vtpoli"
684519210496724992;"RI"
684519317547827200;"mtnews"
684519317547827200;"mtpol"
684520891116425216;"FirstInTheWest"
684520891116425216;"NVDemsCaucus"
684521394764251136;"coleg"
684521394764251136;"copolitics"
684521394764251136;"tcot"
684527312549748736;"coleg"
684527312549748736;"copolitics"
684527312549748736;"tcot"
684527578103681024;"CarsonFlatTax"
684528751024078848;"NoPlaceLikeHome"
684539299023302656;"OregonMilitia"
684539299023302656;"Oregonstandoff"
684539955238977536;"NVDemsCaucus"
684543717835943936;"INLegis"
684543717835943936;"LGBT"
684549192484794368;"tx2016"
684549192484794368;"txlege"
684551289661992960;"FeelTheBern"
684551289661992960;"Tonightly"
684554199049175040;"AKsen"
684554877570170880;"AKgov"
684554877570170880;"AKleg"
684557150761259011;"MakingAMurderer"
684559317316452352;"Oregonstandoff"
684561314568605697;"INLegis"
684561314568605697;"ISTEP"
684561422886436864;"RJnow"
684562852372426752;"Trump4President"
684563689639415810;"FeelTheBern"
684563689639415810;"nhpolitics"
684563853238210560;"itsworkingForGOP"
684565565336350721;"J5"
684568394645909504;"tx2016"
684568394645909504;"txlege"
684570175404904448;"StopTollsRI"
684570516586426368;"ncga"
684570516586426368;"ncgov"
684570516586426368;"ncpol"
684571382332538880;"itsworkingForGOP"
684571785967173632;"coleg"
684571785967173632;"copolitics"
684571785967173632;"tcot"
684572372842594304;"NoTollsInRI"
684581639561822208;"DavidCameron"
684581639561822208;"WH"
684582375121092608;"waleg"
684582412135870464;"NoTollsInRI"
684582412135870464;"TollsAreTaxes"
684582777107292160;"Oregonstandoff"
684582777107292160;"proud"
684588453875453952;"mtnews"
684588453875453952;"mtpol"
684646489780547584;"akleg"
684696393106255872;"StopTollsNow"
684696393106255872;"TrucksTodayCarsTomorrow"
684700665629806592;"ChocolatesWithCosta"
684701021302591490;"NoTollsInRI"
684701021302591490;"StopTollsNow"
684718918980599809;"bakken"
684718918980599809;"mnleg"
684718918980599809;"sandpiper"
684719606909374465;"MoAG"
684721782742495232;"morningjoe"
684725381484654592;"kyga16"
684725692894986240;"kyga16"
684731112166408192;"feelthebern"
684731112166408192;"Tonightly"
684731723071000580;"feelthebern"
684732316904628224;"StopTollsNow"
684737969589112833;"coleg"
684737969589112833;"copolitics"
684738564706406401;"kyga16"
684739342070317056;"NeverGiveUp"
684740465573388289;"FITN"
684742418571239427;"Periscope"
684743309206622208;"Instagram"
684743459354198016;"inlegis"
684744050080133120;"mepolitics"
684744067750719488;"FirstResponderAppreciationWeek"
684744067750719488;"ThankaFirstResponder"
684746196695539712;"CarsonFlatTax"
684746648547901440;"kyga16"
684747545466122240;"copolitics"
684747545466122240;"tcot"
684748421249417222;"neleg"
684748751060078592;"nhpolitics"
684748765572546560;"VAReform"
684749616995282944;"nhpolitics"
684750021669945344;"StopGunViolence"
684750092964904960;"ncgov"
684750092964904960;"ncpol"
684750393948139520;"TNGOP"
684751411121356802;"ISTEP"
684751588276191233;"fitn"
684751588276191233;"nhpolitics"
684751647256477697;"IAcaucus"
684752565351759872;"coleg"
684752565351759872;"copolitics"
684752921385385985;"iacaucus"
684753215502573568;"DoingOurHomeworkOH"
684753215502573568;"education"
684753215502573568;"Ohio"
684755821696266240;"nhpolitics"
684756706451152897;"nhpolitics"
684756965449437184;"OMGOP"
684756965449437184;"VAVotes"
